Items ,Description,Predefined_options,,,
PRISMA_id, Same ID as in Bibliometric information for the PRISMA_id in Bibliometric Information sheet.,N/A,,,
checklist_availability,"Code whether the PRISMA checklist or its extension is available in a downloadable format (e.g., PDF, Word, CSV, Shiny app, or online form).",yes,,,
,,no,,,
checklist_fillable,"Code whether the PRISMA checklist or its extension is in a digital fillable format. This may include a word document, fillable pdf, excel file or shiny app (other options are available).",yes,,,
,,no,,,
open_source_support,"Code whether the checklist is provided in an open-source software (i.e., no payment needed to use software).",yes,,,
,,no,,,
open_source_fillable,"Code whether the checklist provided is fillable in an open source format (i.e., no needed payment to edit the software).",yes,additional item,,
,,no,,,
version_control,"Code whether the authors of a PRISMA checklist or its extensions provide different version numbers for use during peer review and post-publication, or other stages / versions.",yes,,,
,,no,,,
elaboration_item,Code whether the authors of a PRISMA checklist or its extension provides an explanation and/or elaboration of each item.,yes,,,
,,no,,,
