Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
73,"YV Stenkin","On the PRISMA project",2009,"arXiv preprint arXiv:0902.0138","arxiv.org","https://arxiv.org/abs/0902.0138","https://scholar.google.com/scholar?cites=5916455661991084564&as_sdt=2005&sciodt=2007&hl=en",11,"2024-11-27 10:37:00","","","","",,,,,73,4.87,73,1,15,"… Introducing remarks As it was already mentioned, the PRISMA experiment is aimed to solve the “knee problem” in cosmic ray spectrum. The best way to do so could be direct cosmic ray …","https://arxiv.org/pdf/0902.0138","https://scholar.google.com/scholar?q=related:FMJT7hN5G1IJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
626,"B Hutton, F Catalá-López, D Moher","La extensión de la declaración PRISMA para revisiones sistemáticas que incorporan metaanálisis en red: PRISMA-NMA",2016,"Med Clin (Barc)","prisma-statement.org","https://www.prisma-statement.org/s/PRISMA-NMA-Spanish-n6zk.pdf","https://scholar.google.com/scholar?cites=12907760971261385117&as_sdt=2005&sciodt=2007&hl=en",12,"2024-11-27 10:37:00","PDF","","","",,,,,626,78.25,209,3,8,"… Para mejorar la claridad, la transparencia y la calidad de este tipo de revisiones sistemáticas se desarrolló una extensión de la declaración PRISMA para NMA12 (PRISMA-NMA), cuya …","https://www.prisma-statement.org/s/PRISMA-NMA-Spanish-n6zk.pdf","https://scholar.google.com/scholar?q=related:nZmvETeUIbMJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
55,"L Candela, R Formaro, R Guarini…","The PRISMA mission",2016,"… and remote sensing …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7729057/","https://scholar.google.com/scholar?cites=960304988822636853&as_sdt=2005&sciodt=2007&hl=en",13,"2024-11-27 10:37:00","","","","",,,,,55,6.88,14,4,8,"… Due to the big number of spectral channels, ranging from visible to short wave infrared, PRISMA data will allow an efficient … PRISMA is an innovative remote sensing mission focused on …","https://ieeexplore.ieee.org/iel7/7592514/7728980/07729057.pdf","https://scholar.google.com/scholar?q=related:NQnPpkywUw0J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
75,"R Harding, IJ Higginson, O behalf of PRISMA","PRISMA: a pan-European co-ordinating action to advance the science in end-of-life cancer care",2010,"European journal of cancer","Elsevier","https://www.sciencedirect.com/science/article/pii/S0959804910000833","https://scholar.google.com/scholar?cites=6710341205899289342&as_sdt=2005&sciodt=2007&hl=en",14,"2024-11-27 10:37:00","HTML","","","",,,,,75,5.36,25,3,14,"… DISCUSSION: PRISMA is currently producing a series of outputs to be accessible to the … on the work of PRISMA and to lead high quality work informed by our deliverables. PRISMA, we …","https://www.sciencedirect.com/science/article/pii/S0959804910000833","https://scholar.google.com/scholar?q=related:_iJLG8brH10J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
320,"KHA Wahid","Prisma Pemikiran Gus Dur",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=LnBnDwAAQBAJ&oi=fnd&pg=PR7&dq=prisma%7C%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&ots=IfnoYgbB1l&sig=i1zikixZhA99T-N7JYZP7GvUr7A","https://scholar.google.com/scholar?cites=18132223805937296754&as_sdt=2005&sciodt=2007&hl=en",15,"2024-11-27 10:37:00","BOOK","","","",,,,,320,22.86,320,1,14,"… Buku yang ada di hadapan sidang pembaca ini semula merupakan kepingan artikel Abdurrahman Wahid (Gus Dur) yang pernah dimuat di jurnal Prisma. Prisma dikenal …","","https://scholar.google.com/scholar?q=related:ciXGnHuZovsJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
105,"FM Borini, FCF Ribeiro, FP Coelho…","O prisma da internacionalização: um estudo de caso",2006,"Revista de …","revista.fumec.br","http://revista.fumec.br/index.php/facesp/article/view/81","https://scholar.google.com/scholar?cites=14358437593115529426&as_sdt=2005&sciodt=2007&hl=en",16,"2024-11-27 10:37:00","","","","",,,,,105,5.83,26,4,18,"… RESUMO O prisma da internacionalização é um modelo para … São consideradas as seguintes teorias para compor o prisma: … Este artigo mostra como a perspectiva do prisma pode ser …","http://revista.fumec.br/index.php/facesp/article/download/81/78","https://scholar.google.com/scholar?q=related:0hBEq-pqQ8cJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
106,"R Loizzo, M Daraio, R Guarini, F Longo…","Prisma mission status and perspective",2019,"IGARSS 2019-2019 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8899272/","https://scholar.google.com/scholar?cites=8831492515040777610&as_sdt=2005&sciodt=2007&hl=en",17,"2024-11-27 10:37:00","","","","",,,,,106,21.20,21,5,5,"… In the upcoming Earth Observation European scenario PRISMA is expected to be a good … This paper will report the status of the PRISMA mission after the launch was on 22 March …","https://ieeexplore.ieee.org/iel7/8891871/8897702/08899272.pdf","https://scholar.google.com/scholar?q=related:itWGs6bDj3oJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
221,"R Loizzo, R Guarini, F Longo, T Scopa…","PRISMA: The Italian hyperspectral mission",2018,"IGARSS 2018-2018 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8518512/","https://scholar.google.com/scholar?cites=7276778831105837887&as_sdt=2005&sciodt=2007&hl=en",18,"2024-11-27 10:37:00","","","","",,,,,221,36.83,44,5,6,"… the performances of the L1 and L2 PRISMA processors. The hyper-spectral image simulator for PRISMA mission produces simulated PRISMA-like imagery in the spectral range of …","https://ieeexplore.ieee.org/iel7/8496405/8517275/08518512.pdf","https://scholar.google.com/scholar?q=related:P0sl-cpP_GQJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
733,"…, D Tovey, PRISMA for Abstracts Group","PRISMA for abstracts: reporting systematic reviews in journal and conference abstracts",2013,"PLoS …","journals.plos.org","https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001419","https://scholar.google.com/scholar?cites=16927858974901990657&as_sdt=2005&sciodt=2007&hl=en",19,"2024-11-27 10:37:00","HTML","","","",,,,,733,66.64,244,3,11,"… We developed consensus-based reporting guidelines as an extension to the PRISMA Statement on good reporting of systematic reviews and meta-analyses in abstracts. … After …","https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001419","https://scholar.google.com/scholar?q=related:AfXwzgzW6-oJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
282,"AM Stefanini, L Corradi, G Maron, A Pisent, M Trotta…","The heavy-ion magnetic spectrometer PRISMA",2002,"Nuclear Physics A","Elsevier","https://www.sciencedirect.com/science/article/pii/S0375947401015780","https://scholar.google.com/scholar?cites=5144566122015299889&as_sdt=2005&sciodt=2007&hl=en",20,"2024-11-27 10:37:00","","","","",,,,,282,12.82,47,6,22,"… by PRISMA both in the field of reaction dynamics and in nuclear structure studies, particularly for neutron-rich nuclei, when PRISMA … ) of ≃ 12 hours; PRISMA will have a solid angle 30 …","http://www0.mi.infn.it/~sleoni/TEACHING/Nuc-Phys-Det/PDF/papers/Stefanini-NPA701-2002-217c.pdf","https://scholar.google.com/scholar?q=related:MRk7gqErZUcJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
25550,"AC Tricco, E Lillie, W Zarin, KK O'Brien…","PRISMA extension for scoping reviews (PRISMA-ScR): checklist and explanation",2018,"Annals of internal …","acpjournals.org","https://www.acpjournals.org/doi/abs/10.7326/M18-0850","https://scholar.google.com/scholar?cites=15842885964866283616&as_sdt=2005&sciodt=2007&hl=en",21,"2024-11-27 10:37:00","","10.7326/M18-0850","","",,,,,25550,4258.33,5110,5,6,"… PRISMA-ScR is intended to provide guidance on the reporting of scoping reviews. To develop this PRISMA extension, the original PRISMA … It is hoped that the PRISMA-ScR will improve …","https://www.acpjournals.org/doi/full/10.7326/M18-0850","https://scholar.google.com/scholar?q=related:YGjgiNg83dsJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
398,"B Hutton, F Catala-Lopez, D Moher","The PRISMA statement extension for systematic reviews incorporating network meta-analysis: PRISMA-NMA",2016,"Medicina Clínica (English Edition)","Elsevier","https://www.sciencedirect.com/science/article/pii/S2387020616306015","https://scholar.google.com/scholar?cites=17999830157429266585&as_sdt=2005&sciodt=2007&hl=en",22,"2024-11-27 10:37:00","HTML","","","",,,,,398,49.75,133,3,8,"… Dissemination and implementation of the PRISMA statement seems to indicate … type of systematic reviews, the PRISMA extension statement for NMA was developed 12 (PRISMA-NMA), …","https://www.sciencedirect.com/science/article/pii/S2387020616306015","https://scholar.google.com/scholar?q=related:mVjvNik-zPkJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
261,"V Welch, M Petticrew, J Petkovic, D Moher…","Extending the PRISMA statement to equity-focused systematic reviews (PRISMA-E 2012): explanation and elaboration",2016,"Journal of clinical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0895435615004205","https://scholar.google.com/scholar?cites=8570951403590911909&as_sdt=2005&sciodt=2007&hl=en",23,"2024-11-27 10:37:00","HTML","","","",,,,,261,32.63,52,5,8,"… conjunction with the PRISMA-E 2012 statement and with the original PRISMA statement and … We use the term “we” to refer to the consensus panel that met to finalize the PRISMA-Equity …","https://www.sciencedirect.com/science/article/pii/S0895435615004205","https://scholar.google.com/scholar?q=related:pQcsBuQi8nYJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
186,"D Moher, L Stewart, P Shekelle","Implementing PRISMA-P: recommendations for prospective authors",2016,"Systematic reviews","Springer","https://link.springer.com/article/10.1186/s13643-016-0191-y","https://scholar.google.com/scholar?cites=6928737989501919127&as_sdt=2005&sciodt=2007&hl=en",24,"2024-11-27 10:37:00","HTML","10.1186/s13643-016-0191-y","","",,,,,186,23.25,62,3,8,"… Authors should also include a completed PRISMA-P checklist … PRISMA-P checklist, which includes the two added columns, from the journal’s website (URL to be added) or the PRISMA …","https://link.springer.com/article/10.1186/s13643-016-0191-y","https://scholar.google.com/scholar?q=related:lx8Ezn3SJ2AJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
2713,"G Urrútia, X Bonfill","Declaración PRISMA: una propuesta para mejorar la publicación de revisiones sistemáticas y metaanálisis",2010,"Medicina clínica","bmjopen.bmj.com","https://bmjopen.bmj.com/content/bmjopen/suppl/2013/06/10/bmjopen-2012-002330.DC1/bmjopen-2012-002330supp_PRISMA-2010.pdf","https://scholar.google.com/scholar?cites=5962383402918274063&as_sdt=2005&sciodt=2007&hl=en",25,"2024-11-27 10:37:00","","","","",,,,,2713,193.79,1357,2,14,"… La nueva lista de comprobación PRISMA difiere en varios aspectos con respecto a QUOROM. En primer lugar, PRISMA presenta un total de 27 ıtems (tabla 1) frente a los 18 ıtems de …","https://revistas.um.es/eglobal/article/download/251571/242631/","https://scholar.google.com/scholar?q=related:D-SgaR2kvlIJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
121,"…, P Tugwell, PRISMA-Equity Bellagio group","Extending the PRISMA statement to equity-focused systematic reviews (PRISMA-E 2012): explanation and elaboration",2015,"International Journal for …","Springer","https://link.springer.com/article/10.1186/s12939-015-0219-2","https://scholar.google.com/scholar?cites=6778117306283512923&as_sdt=2005&sciodt=2007&hl=en",26,"2024-11-27 10:37:00","HTML","10.1186/s12939-015-0219-2","","",,,,,121,13.44,40,3,9,"… conjunction with the PRISMA-E 2012 statement and with the original PRISMA statement and … We use the term “we” to refer to the consensus panel that met to finalize the PRISMA-Equity …","https://link.springer.com/article/10.1186/s12939-015-0219-2","https://scholar.google.com/scholar?q=related:W9T0Lse1EF4J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
7,"张珺, 葛龙, 赵晔, 王茵, 张菊霞, 田金徽","PRISMA 系列报告规范简介",2015,"中国药物评价","zgywpj.cn","http://www.zgywpj.cn/CN/Y2015/V32/I5/257","https://scholar.google.com/scholar?cites=4505564113212549509&as_sdt=2005&sciodt=2007&hl=en",27,"2024-11-27 10:37:00","","","","",,,,,7,0.78,1,6,9,": 近年来, 随着系统评价/meta 分析方法学的不断完善, 大量的系统评价/Meta 分析发表, 但报告 质量存在严重问题. 为规范系统评价/Meta 分析报告, PRISMA 系列报告指南被陆续发表. 本文将对…","","https://scholar.google.com/scholar?q=related:hSnIgLD6hj4J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
2033,"MJ Page, JE McKenzie, PM Bossuyt, I Boutron…","Declaración PRISMA 2020: una guía actualizada para la publicación de revisiones sistemáticas",2021,"Revista española de …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0300893221002748","https://scholar.google.com/scholar?cites=10232133199030025595&as_sdt=2005&sciodt=2007&hl=en",28,"2024-11-27 10:37:00","HTML","","","",,,,,2033,677.67,407,5,3,"… La declaración prisma 2020 sustituye a la declaración de … En este artículo, presentamos la lista de verificación PRISMA … lista de verificación del resumen estructurado PRISMA 2020 y el …","https://www.sciencedirect.com/science/article/pii/S0300893221002748","https://scholar.google.com/scholar?q=related:e32qru7W_40J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
136,"PS Fleming, D Koletsi, N Pandis","Blinded by PRISMA: are systematic reviewers focusing on PRISMA and ignoring other guidelines?",2014,"PLoS One","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0096407","https://scholar.google.com/scholar?cites=16611384206115991858&as_sdt=2005&sciodt=2007&hl=en",29,"2024-11-27 10:37:00","HTML","","","",,,,,136,13.60,45,3,10,"… the usage of PRISMA guidelines specifically, it is likely that epidemiologic and diagnostic reviews that cite more specific guidelines in isolation, without referring to PRISMA, exist. …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0096407","https://scholar.google.com/scholar?q=related:MvETsex9h-YJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
29,"K Dickson, CA Yeung","PRISMA 2020 updated guideline",2022,"British dental journal","nature.com","https://www.nature.com/articles/s41415-022-4359-7","https://scholar.google.com/scholar?cites=1117596324351361147&as_sdt=2005&sciodt=2007&hl=en",30,"2024-11-27 10:37:00","","","","",,,,,29,14.50,15,2,2,"(Musculus masseter pars coronidea) in a cadaveric study. 2 They noted that this layer originates on the zygomatic process of the temporal bone, running anteromedially attaching at the …","https://www.nature.com/articles/s41415-022-4359-7.pdf","https://scholar.google.com/scholar?q=related:e8A-i-9_gg8J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
93,"J Moraga, R Cartes-Velásquez","Pautas de chequeo, parte II: QUOROM y PRISMA",2015,"Revista chilena de cirugía","SciELO Chile","https://www.scielo.cl/scielo.php?pid=S0718-40262015000300015&script=sci_arttext","https://scholar.google.com/scholar?cites=11073352807809437325&as_sdt=2005&sciodt=2007&hl=en",31,"2024-11-27 10:37:00","HTML","","","",,,,,93,10.33,47,2,9,"Las revisiones sistemáticas (RS), especialmente las que incluyen meta-análisis, son los diseños que aportan el más alto nivel de evidencia en la actualidad. Sin embargo, al igual que …","https://www.scielo.cl/scielo.php?pid=S0718-40262015000300015&script=sci_arttext","https://scholar.google.com/scholar?q=related:jU4OprVzrJkJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
406,"MJ Page, JE McKenzie, PM Bossuyt…","A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas",2023,"… de salud publica","SciELO Public Health","https://www.scielosp.org/article/rpsp/2022.v46/e112/pt/","https://scholar.google.com/scholar?cites=8291070616290827547&as_sdt=2005&sciodt=2007&hl=en",32,"2024-11-27 10:37:00","HTML","","","",,,,,406,406.00,102,4,1,"… A declaração PRISMA 2020 … PRISMA 2020 de 27 itens, uma lista de checagem expandida que detalha as recomendações para relato para cada item, a lista de checagem PRISMA …","https://www.scielosp.org/article/rpsp/2022.v46/e112/pt/","https://scholar.google.com/scholar?q=related:G52xK8zMD3MJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
